,"Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft"
95,SWA1780,B38M,Chicago Midway Intl (KMDW),Dallas Love Fld (KDAL),Tue 06:50PM CDT,Tue 08:44PM CDT,,
96,SWA1784,B38M,Daniel K Inouye Intl (PHNL),Kahului (OGG / PHOG),Tue 01:40PM HST,Tue 02:09PM HST,,
97,SWA1786,B737,Raleigh-Durham Intl (KRDU),Orlando Intl (KMCO),Tue 06:48PM EDT,Tue 08:14PM EDT,,
98,SWA1800,B38M,Kahului (OGG / PHOG),Los Angeles Intl (KLAX),Tue 11:33AM HST,Tue 07:14PM PDT,,
99,SWA1806,B38M,Nashville Intl (KBNA),Dallas Love Fld (KDAL),Tue 06:50PM CDT,Tue 08:25PM CDT,,
100,SWA181,B38M,Harry Reid Intl (KLAS),Ellison Onizuka Kona Intl At Keahole (KOA / PHKO),Tue 11:51AM PDT,Tue 02:40PM HST,,
101,SWA182,B38M,St Louis Lambert Intl (KSTL),William P Hobby (KHOU),Tue 05:54PM CDT,Tue 07:41PM CDT,,
102,SWA1823,B38M,Fort Lauderdale Intl (KFLL),Austin-Bergstrom Intl (KAUS),Tue 07:01PM EDT,Tue 08:39PM CDT,,
103,SWA184,B38M,Chicago Midway Intl (KMDW),Harry Reid Intl (KLAS),Tue 06:17PM CDT,Tue 07:45PM PDT,,
104,SWA1841,B737,Norfolk Intl (KORF),Denver Intl (KDEN),Tue 04:48PM EDT,Tue 06:23PM MDT,,
105,SWA1855,B737,Mahlon Sweet Fld (KEUG),Bob Hope (KBUR),Tue 03:30PM PDT,Tue 05:07PM PDT,,
106,SWA186,B737,Reagan National (KDCA),Dallas Love Fld (KDAL),Tue 06:23PM EDT,Tue 08:23PM CDT,,
107,SWA1860,B738,Harry Reid Intl (KLAS),Pittsburgh Intl (KPIT),Tue 04:21PM PDT,Tue 10:57PM EDT,,
108,SWA1866,B38M,John Glenn Columbus Intl Airport (KCMH),Harry Reid Intl (KLAS),Tue 04:31PM EDT,Tue 05:25PM PDT,,
109,SWA187,B737,Albuquerque Intl Sunport (KABQ),San Diego Intl (KSAN),Tue 05:35PM MDT,Tue 06:03PM PDT,,
110,SWA1870,B737,Orlando Intl (KMCO),Nashville Intl (KBNA),Tue 06:43PM EDT,Tue 07:18PM CDT,,
111,SWA1872,B737,Los Angeles Intl (KLAX),Metro Oakland Intl (KOAK),Tue 04:22PM PDT,Tue 05:24PM PDT,,
112,SWA1877,B38M,Lihue (LIH / PHLI),San Jose Int'l (KSJC),Tue 01:36PM HST,Tue 09:29PM PDT,,
113,SWA1882,B38M,Chicago Midway Intl (KMDW),Reagan National (KDCA),Tue 06:28PM CDT,Tue 08:45PM EDT,,
114,SWA1889,B737,Orlando Intl (KMCO),Dallas Love Fld (KDAL),Tue 05:29PM EDT,Tue 07:01PM CDT,,
115,SWA1893,B738,LaGuardia (KLGA),Chicago Midway Intl (KMDW),Tue 07:26PM EDT,Tue 08:14PM CDT,,
116,SWA1895,B38M,San Diego Intl (KSAN),Daniel K Inouye Intl (PHNL),Tue 02:19PM PDT,Tue 04:59PM HST,,
117,SWA1913,B38M,Harry Reid Intl (KLAS),Milwaukee Mitchell Intl Airport (KMKE),Tue 04:02PM PDT,Tue 08:54PM CDT,,
118,SWA1914,B738,San Diego Intl (KSAN),New Orleans Intl (KMSY),Tue 02:07PM PDT,Tue 07:06PM CDT,,
119,SWA1916,B737,Hartsfield-Jackson Intl (KATL),Denver Intl (KDEN),Tue 05:29PM EDT,Tue 06:25PM MDT,,
120,SWA1926,B38M,Luis Munoz Marin Intl (SJU / TJSJ),Baltimore/Washington Intl (KBWI),Tue 05:25PM AST,Tue 09:13PM EDT,,
121,SWA1939,B38M,Philadelphia Intl (KPHL),Denver Intl (KDEN),Tue 06:33PM EDT,Tue 08:01PM MDT,,
122,SWA1945,B738,Phoenix Sky Harbor Intl (KPHX),Metro Oakland Intl (KOAK),Tue 03:21PM MST,Tue 05:00PM PDT,,
123,SWA1959,B737,San Diego Intl (KSAN),Chicago Midway Intl (KMDW),Tue 04:17PM PDT,Tue 09:40PM CDT,,
124,SWA1969,B38M,Spokane Intl (KGEG),Denver Intl (KDEN),Tue 03:42PM PDT,Tue 06:20PM MDT,,
125,SWA1973,B737,Dallas Love Fld (KDAL),Kansas City Intl (KMCI),Tue 06:25PM CDT,Tue 07:37PM CDT,,
126,SWA198,B737,Orlando Intl (KMCO),Harry Reid Intl (KLAS),Tue 04:14PM EDT,Tue 05:59PM PDT,,
127,SWA1989,B737,Harry Reid Intl (KLAS),Los Angeles Intl (KLAX),Tue 04:13PM PDT,Tue 05:04PM PDT,,
128,SWA1998,B738,Nashville Intl (KBNA),Metro Oakland Intl (KOAK),Tue 03:30PM CDT,Tue 05:56PM PDT,,
129,SWA2022,B737,Gowen Field (KBOI),Denver Intl (KDEN),Tue 05:03PM MDT,Tue 06:17PM MDT,,
130,SWA2029,B38M,San Jose Int'l (KSJC),Daniel K Inouye Intl (PHNL),Tue 03:00PM PDT,Tue 05:00PM HST,,
131,SWA2031,B738,Pittsburgh Intl (KPIT),Tampa Intl (KTPA),Tue 06:27PM EDT,Tue 08:27PM EDT,,
132,SWA2043,B38M,Harry Reid Intl (KLAS),Mahlon Sweet Fld (KEUG),Tue 03:13PM PDT,Tue 04:57PM PDT,,
133,SWA2054,B737,Denver Intl (KDEN),Wichita Eisenhower (KICT),Tue 05:18PM MDT,Tue 07:17PM CDT,,
134,SWA2056,B38M,Los Angeles Intl (KLAX),Baltimore/Washington Intl (KBWI),Tue 04:17PM PDT,Tue 11:40PM EDT,,
135,SWA2059,B737,Bob Hope (KBUR),William P Hobby (KHOU),Tue 03:47PM PDT,Tue 08:38PM CDT,,
136,SWA2068,B738,Chicago Midway Intl (KMDW),Minneapolis/St Paul Intl (KMSP),Tue 06:33PM CDT,Tue 07:34PM CDT,,
137,SWA2074,B38M,Metro Oakland Intl (KOAK),Daniel K Inouye Intl (PHNL),Tue 03:46PM PDT,Tue 05:38PM HST,,
138,SWA2075,B38M,Los Angeles Intl (KLAX),William P Hobby (KHOU),Tue 04:32PM PDT,Tue 09:22PM CDT,,
139,SWA2077,B38M,Denver Intl (KDEN),Tucson Intl (KTUS),Tue 04:43PM MDT,Tue 05:15PM MST,,
140,SWA2087,B738,Boston Logan Intl (KBOS),Denver Intl (KDEN),Tue 04:21PM EDT,Tue 06:19PM MDT,,
141,SWA2097,B738,Daugherty Field (KLGB),Phoenix Sky Harbor Intl (KPHX),Tue 04:40PM PDT,Tue 05:30PM MST,,
142,SWA2102,B738,Southwest Florida Intl (KRSW),Baltimore/Washington Intl (KBWI),Tue 06:51PM EDT,Tue 08:50PM EDT,,
143,SWA2106,B737,San Diego Intl (KSAN),Dallas Love Fld (KDAL),Tue 03:03PM PDT,Tue 07:32PM CDT,,
144,SWA2108,B737,Denver Intl (KDEN),John Wayne (KSNA),Tue 05:38PM MDT,Tue 06:38PM PDT,,
145,SWA2109,B737,San Jose Int'l (KSJC),Bob Hope (KBUR),Tue 04:15PM PDT,Tue 05:03PM PDT,,
146,SWA2114,B737,Baltimore/Washington Intl (KBWI),Boston Logan Intl (KBOS),Tue 07:01PM EDT,Tue 08:00PM EDT,,
147,SWA2116,B737,Birmingham-Shuttlesworth Intl (KBHM),Dallas Love Fld (KDAL),Tue 05:35PM CDT,Tue 07:11PM CDT,,
148,SWA2123,B738,Miami Intl (KMIA),William P Hobby (KHOU),Tue 06:50PM EDT,Tue 08:09PM CDT,,
149,SWA2128,B737,San Diego Intl (KSAN),Sacramento Intl (KSMF),Tue 04:12PM PDT,Tue 05:26PM PDT,,
150,SWA2140,B738,Austin-Bergstrom Intl (KAUS),Ontario Intl (KONT),Tue 04:34PM CDT,Tue 05:18PM PDT,,
151,SWA2142,B38M,Harry Reid Intl (KLAS),Lihue (LIH / PHLI),Tue 01:11PM PDT,Tue 04:00PM HST,,
152,SWA2145,B737,Kansas City Intl (KMCI),San Diego Intl (KSAN),Tue 06:22PM CDT,Tue 07:16PM PDT,,
153,SWA2159,B737,Richmond Intl (KRIC),Chicago Midway Intl (KMDW),Tue 07:15PM EDT,Tue 08:01PM CDT,,
154,SWA2169,B737,Nashville Intl (KBNA),Bob Hope (KBUR),Tue 05:11PM CDT,Tue 07:19PM PDT,,
155,SWA2177,B738,Harry Reid Intl (KLAS),Tampa Intl (KTPA),Tue 04:12PM PDT,Tue 10:52PM EDT,,
156,SWA2191,B737,Phoenix Sky Harbor Intl (KPHX),Austin-Bergstrom Intl (KAUS),Tue 04:39PM MST,Tue 08:23PM CDT,,
157,SWA2195,B737,Sacramento Intl (KSMF),San Diego Intl (KSAN),Tue 04:07PM PDT,Tue 05:12PM PDT,,
158,SWA2202,B737,Salt Lake City Intl (KSLC),Los Angeles Intl (KLAX),Tue 04:29PM MDT,Tue 05:03PM PDT,,
159,SWA2214,B738,William P Hobby (KHOU),Phoenix Sky Harbor Intl (KPHX),Tue 04:51PM CDT,Tue 05:27PM MST,,
160,SWA2218,B737,Phoenix Sky Harbor Intl (KPHX),John Wayne (KSNA),Tue 04:03PM MST,Tue 04:58PM PDT,,
161,SWA2219,B738,Indianapolis Intl (KIND),Hartsfield-Jackson Intl (KATL),Tue 07:17PM EDT,Tue 08:20PM EDT,,
162,SWA2221,B737,Orlando Intl (KMCO),San Antonio Intl (KSAT),Tue 06:55PM EDT,Tue 08:30PM CDT,,
163,SWA2231,B737,Sacramento Intl (KSMF),Daugherty Field (KLGB),Tue 03:58PM PDT,Tue 04:58PM PDT,,
164,SWA2233,B737,Denver Intl (KDEN),Austin-Bergstrom Intl (KAUS),Tue 05:17PM MDT,Tue 07:59PM CDT,,
165,SWA2236,B738,Hartsfield-Jackson Intl (KATL),John Glenn Columbus Intl Airport (KCMH),Tue 07:37PM EDT,Tue 08:45PM EDT,,
166,SWA2252,B737,Nashville Intl (KBNA),Denver Intl (KDEN),Tue 06:53PM CDT,Tue 08:29PM MDT,,
167,SWA2260,B38M,Daniel K Inouye Intl (PHNL),Metro Oakland Intl (KOAK),Tue 10:46AM HST,Tue 06:28PM PDT,,
168,SWA2269,B38M,Indianapolis Intl (KIND),Harry Reid Intl (KLAS),Tue 05:37PM EDT,Tue 06:10PM PDT,,
169,SWA2273,B38M,Miami Intl (KMIA),Denver Intl (KDEN),Tue 07:07PM EDT,Tue 08:56PM MDT,,
170,SWA2276,B737,Philadelphia Intl (KPHL),St Louis Lambert Intl (KSTL),Tue 07:05PM EDT,Tue 08:08PM CDT,,
171,SWA2290,B38M,Denver Intl (KDEN),Tampa Intl (KTPA),Tue 03:42PM MDT,Tue 08:31PM EDT,,
172,SWA2306,B738,Denver Intl (KDEN),Milwaukee Mitchell Intl Airport (KMKE),Tue 05:10PM MDT,Tue 07:55PM CDT,,
173,SWA2308,B737,Santa Barbara Muni (KSBA),Harry Reid Intl (KLAS),Tue 04:04PM PDT,Tue 04:53PM PDT,,
174,SWA2309,B737,Chicago Midway Intl (KMDW),Daugherty Field (KLGB),Tue 04:23PM CDT,Tue 06:13PM PDT,,
175,SWA2325,B737,Dallas Love Fld (KDAL),Baltimore/Washington Intl (KBWI),Tue 06:52PM CDT,Tue 10:13PM EDT,,
176,SWA2334,B738,Denver Intl (KDEN),St Louis Lambert Intl (KSTL),Tue 05:04PM MDT,Tue 07:35PM CDT,,
177,SWA2335,B737,William P Hobby (KHOU),Nashville Intl (KBNA),Tue 06:34PM CDT,Tue 08:00PM CDT,,
178,SWA2347,B737,Nashville Intl (KBNA),San Diego Intl (KSAN),Tue 06:29PM CDT,Tue 08:33PM PDT,,
179,SWA2348,B737,Dallas Love Fld (KDAL),Chicago Midway Intl (KMDW),Tue 05:26PM CDT,Tue 07:05PM CDT,,
180,SWA2350,B38M,LaGuardia (KLGA),William P Hobby (KHOU),Tue 05:33PM EDT,Tue 07:57PM CDT,,
181,SWA2355,B738,Baltimore/Washington Intl (KBWI),Tampa Intl (KTPA),Tue 07:36PM EDT,Tue 09:51PM EDT,,
182,SWA2367,B737,Hartsfield-Jackson Intl (KATL),Indianapolis Intl (KIND),Tue 07:47PM EDT,Tue 09:02PM EDT,,
183,SWA2369,B738,Baltimore/Washington Intl (KBWI),William P Hobby (KHOU),Tue 06:16PM EDT,Tue 08:24PM CDT,,
184,SWA2372,B737,Memphis Intl (KMEM),William P Hobby (KHOU),Tue 05:45PM CDT,Tue 07:07PM CDT,,
185,SWA2375,B738,Sacramento Intl (KSMF),Los Angeles Intl (KLAX),Tue 04:26PM PDT,Tue 05:21PM PDT,,
186,SWA2378,B737,Memphis Intl (KMEM),Hartsfield-Jackson Intl (KATL),Tue 06:38PM CDT,Tue 08:21PM EDT,,
